transaction_id,user_id,merchant_id,amount,timestamp,description,device_id,ip_address,location,session_duration,authentication_attempts,receiver_account_age,receiver_transaction_history,transaction_amount_vs_sender_history,geographic_disparity,transaction_time_of_day,merchant_category_code,session_source,url_referrer,time_between_link_click_and_transaction,unusual_device_flag,unusual_ip_flag,unusual_location_flag,dns_lookup_age,recent_app_installs,input_timing_consistency,app_switching_frequency,keyboard_input_speed,input_pause_patterns,permissions_granted,screen_active_time,geographic_location_vs_ip,background_data_usage,recognized_screen_sharing_apps,authentication_attempt_count,time_between_otp_generation_and_input,pin_entry_method,pin_entry_speed,unusual_transaction_amount_flag,otp_request_frequency,otp_request_device_consistency,transaction_velocity,failed_transaction_count,authorization_method,transaction_type,request_description,request_description_keywords,request_amount_roundness,request_frequency,request_acceptance_rate,time_to_respond_to_request,time_pressure_indicators,requester_account_age,relationship_to_requester,upi_handle_age,handle_similarity_score,handle_contains_official_terms,handle_typo_analysis,handle_transaction_history,business_name_match,social_media_presence,handle_registration_pattern,handle_to_description_consistency,handle_verification_status,is_fraud
7d4e9561-000c-44c8-84e4-54af2c4ac209,michelle89,8bdff36c-efba-4260-a801-8bd36f0f2eb0,1960.754748,18:27.7,Payment to Lee-Warren for products,0c51ef4f-41a8-41da-b721-b74a8055dc4c,49.221.248.16,"(14.5837385, 85.305345)",234,1,350,7,1.273830269,11080.7968,23,food,app,,0,0,0,0,0,[],0.900939017,0,1.172686072,0.07681945,[],262,11080.7968,0.33375544,[],1,0,manual,1.251915344,0,0,1,0,0,pin,payment,,[],1.000125081,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
fbf88cde-dc62-4f36-ac10-a1b1fd771793,eguerrero,a28f2b48-5423-4eb6-9018-00e6e55410af,4593.854621,34:55.5,"Payment to Wright, Johnson and Parker for products",932aab8b-af95-4214-b555-7f5f2d67308c,106.79.40.40,"(-41.063726, -164.178102)",98,1,29,61,4.946102569,7582.484261,14,food,app,,0,0,0,0,0,[],0.912676189,2,1.08022547,0.096503163,[],542,7582.484261,0.151590483,[],1,0,manual,0.698639023,0,0,1,0,0,pin,payment,,[],1.000031646,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
d746c963-baaa-46a0-80f4-b050e14e1c7d,alexanderpatrick,ce4ed336-6b99-42f2-88ca-dba320b8a96f,1949.587163,49:42.8,Payment to Hanson Ltd for products,0dc46fa1-fb1f-4bc6-9e03-af19e1c46e1b,125.165.248.30,"(52.1582705, -162.522989)",100,1,166,10,0.871468692,3398.589394,2,services,app,,0,0,0,0,0,[],0.961224478,2,1.302744715,0.09789499,[],598,3398.589394,0.286856062,[],1,0,manual,1.708456226,0,0,1,0,0,pin,payment,,[],1.000211756,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
e5f8a1cc-4bf6-46d2-b9b2-aa393ff4e244,timothy32,3a6129b8-6cdd-4c5a-9bf5-a312da5a9fd3,2825.569899,16:29.9,"Payment to Garcia, Barron and Wood for services",2cc9e843-b5b2-41cf-a6db-aa7fc659986a,89.223.179.179,"(48.549751, -163.02585)",145,1,360,20,21.44587916,10979.28966,7,utilities,app,,0,0,0,0,0,[],0.867276755,0,1.254186228,0.12396416,[],503,10979.28966,0.212075593,[],1,0,manual,0.992427109,0,0,1,0,0,pin,payment,,[],1.000152218,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
34309820-3aec-4fa4-9518-03437830e1e0,billycalhoun,2e34ad70-ec10-4ac1-895e-2773c6246f62,6509.628443,39:44.7,Payment via link: http://lowe.com/search/wp-content/wp-contentmain.htm,b503c1d9-fd00-4289-93b9-e297c98f0228,156.93.45.217,"(-61.0860645, 18.331554)",13,1,0,5,0.990145218,9626.410055,3,unknown,link,http://lowe.com/search/wp-content/wp-contentmain.htm,8,1,1,1,7,[],0.69737904,0,0.524350936,0.391888009,[],188,15492.48195,0.792337384,[],3,0,manual,1.018256546,1,0,0,0,0,pin,payment,,[],0.997685691,0,0.0,0,2,0,unknown,0,0.0,0,none,0,none,none,none,0,unverified,1
766452f2-3b87-4acb-8892-b93352999ccf,zacharynielsen,d25434a1-dc79-4be8-9a60-728eb052eb6b,2370.595249,02:41.8,Payment to Fox-Moore for bill,fb527091-8552-4a66-9465-b6f38cfc0b3c,180.169.87.64,"(-19.118666, -76.580035)",97,1,142,5,20.47095685,19180.2715,7,services,app,,0,0,0,0,0,[],0.914549169,0,0.844116057,0.164220827,[],291,19180.2715,0.112433166,[],1,0,manual,1.287496259,0,0,1,0,0,pin,payment,,[],1.000170738,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
31de092d-42dc-49e1-9240-e3de481c28cb,hfrye,4029a30b-5eae-4a4b-9935-78d6234b11ce,2321.374692,17:02.2,"Payment to Barajas, Rich and Jimenez for bill",1adaac1c-d93c-4973-8e7e-b1739f5abe74,193.39.8.117,"(21.4600315, 87.557356)",188,1,152,51,0.908753854,13242.15659,0,services,app,,0,0,0,0,0,[],0.883012466,0,0.980961507,0.163097342,[],160,13242.15659,0.060017251,[],1,0,manual,0.607850769,0,0,1,0,0,pin,payment,,[],0.999838591,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
5a978142-7a92-4e57-942e-f993c966aaee,rogerjohnson,0e9e7be9-4ebc-4081-901d-7678725ed994,2438.345336,07:36.1,Payment to Padilla-Hebert for bill,c9c1255d-e47d-48ac-99db-dc1c2e6cff19,19.136.27.177,"(-1.5485825, -97.457314)",80,1,145,70,1.099262542,13611.20416,7,entertainment,app,,0,0,0,0,0,[],0.973414703,0,0.630351866,0.180592754,[],554,13611.20416,0.294049245,[],1,0,manual,0.668920948,0,0,1,0,0,pin,payment,,[],0.999858373,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
007de78c-9f8b-4711-9c88-0ae51bacc3a1,linda77,d5f9e74d-6df7-44b7-9034-d437b0e9a25e,241.6841244,13:49.7,Payment to Murillo-Odom for products,4e577743-1f93-4894-9f76-c224c09a706c,13.174.33.168,"(42.9735365, 19.40569)",70,1,552,11,2.124973542,742.047238,23,food,app,,0,0,0,0,0,[],0.987587653,0,0.601966966,0.057221519,[],136,742.047238,0.1872567,[],1,0,manual,1.362875979,0,0,1,0,0,pin,payment,,[],1.001306977,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
ce10415b-7124-4e40-97eb-b8046d53f132,crystal81,d82fafff-f5d7-4ad5-947c-f19447bc0a4b,4982.700905,00:36.2,Payment to Rivera-Watson for services,2eaf45d5-3a35-4019-b9ca-93680dff3ed8,48.145.6.248,"(23.476609, 139.403133)",217,1,5,67,1.776749753,13912.87759,7,utilities,app,,0,0,0,0,0,[],0.960367024,1,0.930806722,0.009052863,[],494,13912.87759,0.408528352,[],1,0,manual,1.868452521,0,0,1,0,0,pin,payment,,[],1.000060027,0,0.0,0,0,0,unknown,0,0.0,0,none,0,none,none,none,0,verified,0
